country_code,country_name,year,gdp_per_capita,gdp_growth_pct,employment_ratio,shock_period_flag
BGD,Bangladesh,1990,473.44,5.62,,Normal
BGD,Bangladesh,1991,480.67,3.49,55.67,Normal
BGD,Bangladesh,1992,497.37,5.44,55.8,Normal
BGD,Bangladesh,1993,511.19,4.71,55.9,Normal
BGD,Bangladesh,1994,521.32,3.89,56.02,Normal
BGD,Bangladesh,1995,537.93,5.12,56.13,Normal
BGD,Bangladesh,1996,552.08,4.52,56.24,Normal
BGD,Bangladesh,1997,566.27,4.49,56.28,"Asian Financial Crisis"
BGD,Bangladesh,1998,584.45,5.18,56.29,Normal
BGD,Bangladesh,1999,600.23,4.67,56.28,Normal
BGD,Bangladesh,2000,620.56,5.29,56.26,Normal
BGD,Bangladesh,2001,641.29,5.08,56.1,Normal
BGD,Bangladesh,2002,655.67,3.83,55.9,Normal
BGD,Bangladesh,2003,676.83,4.74,55.67,Normal
BGD,Bangladesh,2004,702.66,5.24,55.65,Normal
BGD,Bangladesh,2005,739.2,6.54,55.65,Normal
BGD,Bangladesh,2006,779.42,6.67,55.99,Normal
BGD,Bangladesh,2007,825.51,7.06,55.86,Normal
BGD,Bangladesh,2008,866.46,6.01,55.7,"2008 Financial Crisis"
BGD,Bangladesh,2009,901.73,5.05,55.53,Normal
BGD,Bangladesh,2010,943.66,5.57,56.6,Normal
BGD,Bangladesh,2011,995.58,6.46,55.94,Normal
BGD,Bangladesh,2012,1050.39,6.52,55.3,Normal
BGD,Bangladesh,2013,1103.16,6.01,54.65,Normal
BGD,Bangladesh,2014,1159.41,6.06,54.31,Normal
BGD,Bangladesh,2015,1224.39,6.55,53.97,Normal
BGD,Bangladesh,2016,1299.83,7.11,53.65,Normal
BGD,Bangladesh,2017,1373.75,6.59,55.78,Normal
BGD,Bangladesh,2018,1462.25,7.32,56.3,Normal
BGD,Bangladesh,2019,1564.21,7.88,56.79,Normal
BGD,Bangladesh,2020,1604.67,3.45,56.46,Covid
BGD,Bangladesh,2021,1702.08,6.94,57.75,Normal
BGD,Bangladesh,2022,1804.35,7.1,59.03,Normal
BGD,Bangladesh,2023,1885.38,5.78,58.84,Normal
BTN,Bhutan,1990,812.67,10.38,,Normal
BTN,Bhutan,1991,795.19,-0.41,69.51,Normal
BTN,Bhutan,1992,863.46,4.6,69.43,Normal
BTN,Bhutan,1993,917.29,1.99,69.34,Normal
BTN,Bhutan,1994,963.02,4.95,69.29,Normal
BTN,Bhutan,1995,1043.39,7.07,69.25,Normal
BTN,Bhutan,1996,1099.86,5.57,69.21,Normal
BTN,Bhutan,1997,1138.4,5.37,69.18,"Asian Financial Crisis"
BTN,Bhutan,1998,1182.99,5.91,69.16,Normal
BTN,Bhutan,1999,1248.62,7.98,69.07,Normal
BTN,Bhutan,2000,1259.62,3.36,68.72,Normal
BTN,Bhutan,2001,1321.1,7.33,68.41,Normal
BTN,Bhutan,2002,1427.26,10.44,68.32,Normal
BTN,Bhutan,2003,1506.42,7.79,68.27,Normal
BTN,Bhutan,2004,1552.74,5.16,67.74,Normal
BTN,Bhutan,2005,1632.02,6.94,67.32,Normal
BTN,Bhutan,2006,1701.12,5.64,67.36,Normal
BTN,Bhutan,2007,1952.26,16.1,67.03,Normal
BTN,Bhutan,2008,2017.76,4.53,66.98,"2008 Financial Crisis"
BTN,Bhutan,2009,2148.56,7.67,66.94,Normal
BTN,Bhutan,2010,2378.73,11.93,65.89,Normal
BTN,Bhutan,2011,2552.49,8.49,65.23,Normal
BTN,Bhutan,2012,2654.75,5.16,63.08,Normal
BTN,Bhutan,2013,2671.07,1.74,63.43,Normal
BTN,Bhutan,2014,2797.82,5.88,60.96,Normal
BTN,Bhutan,2015,2954.04,6.66,61.59,Normal
BTN,Bhutan,2016,3173.37,8.48,61.26,Normal
BTN,Bhutan,2017,3211.81,2.09,60.88,Normal
BTN,Bhutan,2018,3300.55,3.5,60.51,Normal
BTN,Bhutan,2019,3467.39,5.76,64.56,Normal
BTN,Bhutan,2020,3092.12,-10.22,64.42,Covid
BTN,Bhutan,2021,3206.2,4.42,65.78,Normal
BTN,Bhutan,2022,3349.73,5.21,59.34,Normal
BTN,Bhutan,2023,3480.51,4.63,62.96,Normal
IND,India,1990,537.87,5.53,,Normal
IND,India,1991,531.9,1.06,53.54,Normal
IND,India,1992,549.24,5.48,53.56,Normal
IND,India,1993,563.37,4.75,53.58,Normal
IND,India,1994,588.73,6.66,53.66,Normal
IND,India,1995,620.7,7.57,53.98,Normal
IND,India,1996,654.36,7.55,54.3,Normal
IND,India,1997,667.6,4.05,54.59,"Asian Financial Crisis"
